interpret,name,phonetic,sound
adj.紫色的；n.紫罗兰,violet,[ˈvaɪələt],http://sound.yywz123.com/qsbdcword/v/violet.mp3
vt.追逐，追赶，追求；n.追赶,chase,[tʃeɪs],http://sound.yywz123.com/qsbdcword/c/chase.mp3
adj.脆的；清新的；扼要的；n.[pl.]油炸土豆片,crisp,[krɪsp],http://sound.yywz123.com/qsbdcword/c/crisp.mp3
n.(用作饲料或覆盖的)干草,hay,[heɪ],http://sound.yywz123.com/qsbdcword/h/hay.mp3
n.记录，圆木，日志；vt.伐木，切，航行；vi.伐木,log,[lɒg],http://sound.yywz123.com/qsbdcword/l/log.mp3
adj.侦察(用)的；n.侦探,detective,[dɪˈtektɪv],http://sound.yywz123.com/qsbdcword/d/detective.mp3
n.木偶，玩偶；傀儡,puppet,[ˈpʌpɪt],http://sound.yywz123.com/qsbdcword/p/puppet.mp3
n.毯子，地毯，旅行毯,rug,[rʌg],http://sound.yywz123.com/qsbdcword/r/rug.mp3
adj.非常的，特别的，非凡的,extraordinary,[ɪkˈstrɔ:dnri],http://sound.yywz123.com/qsbdcword/e/extraordinary.mp3
adj.油煎的；油炒的,fried,[fraid],http://sound.yywz123.com/qsbdcword/f/fried.mp3
n.烤炉；烤箱,oven,[ˈʌvn],http://sound.yywz123.com/qsbdcword/o/oven.mp3
vt.欣赏，感激，赏识；vt.领会，充分意识；vi.增值,appreciate,[əˈpri:ʃieɪt],http://sound.yywz123.com/qsbdcword/a/appreciate.mp3
n.水库，蓄水池；(人才等的)储藏，汇集,reservoir,[ˈrezəvwɑ:(r)],http://sound.yywz123.com/qsbdcword/r/reservoir.mp3
n.闪烁，闪耀，眨眼，瞬息；vt.闪烁，使...闪耀，眨眼，迅速移动；vi.闪烁；发亮,twinkle,[ˈtwɪŋkl],http://sound.yywz123.com/qsbdcword/t/twinkle.mp3
adj.主要的；n.负责人，校长，资本,principal,[ˈprɪnsəpl],http://sound.yywz123.com/qsbdcword/p/principal.mp3
n.弹，反弹；冲劲，冲力；vt.（使）弹起（跳起）；vi.弹跳；弹起，反跳；弹回,bounce,[baʊns],http://sound.yywz123.com/qsbdcword/b/bounce.mp3
n.黄瓜,cucumber,[ˈkju:kʌmbə(r)],http://sound.yywz123.com/qsbdcword/c/cucumber.mp3
n.花，花期；vi.开花；容光焕发，显露出健康,bloom,[blu:m],http://sound.yywz123.com/qsbdcword/b/bloom.mp3
n.火山,volcano,[vɒlˈkeɪnəʊ],http://sound.yywz123.com/qsbdcword/v/volcano.mp3
n.(白天)打瞌睡，打盹；细毛；孤注一掷,nap,[næp],http://sound.yywz123.com/qsbdcword/n/nap.mp3
n.(一绺)鬈发；卷曲；vt.卷曲；vi.卷曲；缭绕,curl,[kɜ:l],http://sound.yywz123.com/qsbdcword/c/curl.mp3
adj.邪恶的，恶劣的，缺德的；淘气的,wicked,[ˈwɪkɪd],http://sound.yywz123.com/qsbdcword/w/wicked.mp3
n.结，难题，一小群；vi.打结；vt. 把...打成结，系牢，捆扎,knot,[nɒt],http://sound.yywz123.com/qsbdcword/k/knot.mp3
vt.打赌，以(与)...打赌；vi.打赌；n.赌注，赌金；打赌,bet,[bet],http://sound.yywz123.com/qsbdcword/b/bet.mp3
vt.执行，实行，实现，实施；处死，处决,execute,[ˈeksɪkju:t],http://sound.yywz123.com/qsbdcword/e/execute.mp3
n.过量，过度；超越；adj.过量的，附加的,excess,[ɪkˈses],http://sound.yywz123.com/qsbdcword/e/excess.mp3
adj.有能力的，有才能的,capable,[ˈkeɪpəbl],http://sound.yywz123.com/qsbdcword/c/capable.mp3
adj.灵巧的，熟练的,skillful,['skɪlfʊl],http://sound.yywz123.com/qsbdcword/s/skillful.mp3
n.威士忌酒,whisky,[ˈwɪski],http://sound.yywz123.com/qsbdcword/w/whisky.mp3
n.扬声器，扩音器,loudspeaker,[ˌlaʊdˈspi:kə(r)],http://sound.yywz123.com/qsbdcword/l/loudspeaker.mp3
n.轻拍，拍打声；vt.轻拍，拍打；vi.轻跑，轻击；adv.适时，彻底；adj.油腔滑调的，恰好的，合适的,pat,[pæt],http://sound.yywz123.com/qsbdcword/p/pat.mp3
vi.（指钟表等）滴答滴答地响,tick,[tɪk],http://sound.yywz123.com/qsbdcword/t/tick.mp3
n.谷仓，饲料仓，牲口棚,barn,[bɑ:n],http://sound.yywz123.com/qsbdcword/b/barn.mp3
vt.减去，扣除,subtract,[səbˈtrækt],http://sound.yywz123.com/qsbdcword/s/subtract.mp3
n.斧子,ax,[æks],http://sound.yywz123.com/qsbdcword/a/ax.mp3
n.厚肉片，排骨，砍，交换，戳记，商标；vt.剁碎，砍，切，割断；vi.砍，突然转向,chop,[tʃɒp],http://sound.yywz123.com/qsbdcword/c/chop.mp3
n.惊骇，恐怖，惨事，极端厌恶,horror,[ˈhɒrə(r)],http://sound.yywz123.com/qsbdcword/h/horror.mp3
adj.与地平线平行的，平的，水平的,horizontal,[ˌhɒrɪˈzɒntl],http://sound.yywz123.com/qsbdcword/h/horizontal.mp3
adj.忠诚的，忠心的,loyal,[ˈlɔɪəl],http://sound.yywz123.com/qsbdcword/l/loyal.mp3
n.背景,setting,[ˈsetɪŋ],http://sound.yywz123.com/qsbdcword/s/setting.mp3
n.工人，工匠，技工,workman,[ˈwɜ:kmən],http://sound.yywz123.com/qsbdcword/w/workman.mp3
n.车棚，小屋，脱落之物，分水岭；vt.使流出，放射，脱落，散发，摆脱；vi. 流出,shed,[ʃed],http://sound.yywz123.com/qsbdcword/s/shed.mp3
adv.高兴地，愉快地,cheerfully,['tʃɪəfəlɪ],http://sound.yywz123.com/qsbdcword/c/cheerfully.mp3
n.例，例证，实例,instance,[ˈɪnstəns],http://sound.yywz123.com/qsbdcword/i/instance.mp3
n.宽度，阔度，广度；宽阔，广阔,width,[wɪdθ],http://sound.yywz123.com/qsbdcword/w/width.mp3
n.克(重量单位)；（=gram）,gramme,[ɡræm],http://sound.yywz123.com/qsbdcword/g/gramme.mp3
adj.巨大的，极大的；很好的，非常好的,tremendous,[trəˈmendəs],http://sound.yywz123.com/qsbdcword/t/tremendous.mp3
n.巨响，猛击；vi.砰砰作响；vt.砰地敲，猛击,bang,[bæŋ],http://sound.yywz123.com/qsbdcword/b/bang.mp3
n.搬运工人；守门人，门房,porter,[ˈpɔ:tə(r)],http://sound.yywz123.com/qsbdcword/p/porter.mp3
adv.偶然地；意外地,accidentally,[ˌæksɪ'dentəlɪ],http://sound.yywz123.com/qsbdcword/a/accidentally.mp3
adj.联合的，共同的；n.关节，接合处；vt.连接，贴合；vi. 贴合；生节,joint,[dʒɔɪnt],http://sound.yywz123.com/qsbdcword/j/joint.mp3
vi.参加，参与；分担，分享；有几分；vt.分享；分担,participate,[pɑ:ˈtɪsɪpeɪt],http://sound.yywz123.com/qsbdcword/p/participate.mp3
adj.巨大的；庞大的,enormous,[ɪˈnɔ:məs],http://sound.yywz123.com/qsbdcword/e/enormous.mp3
n.远足，短途旅行,excursion,[ɪkˈskɜ:ʃn],http://sound.yywz123.com/qsbdcword/e/excursion.mp3
adj.不耐烦的，急躁的；热切的，急切的,impatient,[ɪmˈpeɪʃnt],http://sound.yywz123.com/qsbdcword/i/impatient.mp3
n.想像力，幻想；喜好，爱；adj.想像的，时髦的，华丽装饰的，奢侈的；技巧的；vt.想象，自认为，喜好,fancy,[ˈfænsi],http://sound.yywz123.com/qsbdcword/f/fancy.mp3
vt.揭露，暴露；揭开…的盖子,uncover,[ʌnˈkʌvə(r)],http://sound.yywz123.com/qsbdcword/u/uncover.mp3
vt.追上，赶过，超过；袭击，压倒；vi.超车,overtake,[ˌəʊvəˈteɪk],http://sound.yywz123.com/qsbdcword/o/overtake.mp3
vt.围住，包住；把…装入信封，附入,enclose,[ɪnˈkləʊz],http://sound.yywz123.com/qsbdcword/e/enclose.mp3
n.(代表)大会；(C-:美国等国的)国会，议会,Congress,['kɔŋgres],http://sound.yywz123.com/qsbdcword/C/Congress.mp3
n.技工，机(械)工，机修工,mechanic,[məˈkænɪk],http://sound.yywz123.com/qsbdcword/m/mechanic.mp3
adj.可移动的，易变的，机动的；n.运动物体,mobile,[ˈməʊbaɪl],http://sound.yywz123.com/qsbdcword/m/mobile.mp3
n.块状，瘤，很多；vt.使...成块状，混在一起，忍耐；vi.结块,lump,[lʌmp],http://sound.yywz123.com/qsbdcword/l/lump.mp3
n.先令,shilling,[ˈʃɪlɪŋ],http://sound.yywz123.com/qsbdcword/s/shilling.mp3
n.烟囱，烟筒；玻璃罩,chimney,[ˈtʃɪmni],http://sound.yywz123.com/qsbdcword/c/chimney.mp3
adj.颠倒的，混乱的；adv.颠倒，倒置,upside-down,['ʌpsaɪd'daʊn],http://sound.yywz123.com/qsbdcword/u/upside-down.mp3
vt.同意给予，授予，承认；n.拨款；补助款,grant,[grɑ:nt],http://sound.yywz123.com/qsbdcword/g/grant.mp3
adv.(在)室内，(在)户内,indoors,[ˌɪnˈdɔ:z],http://sound.yywz123.com/qsbdcword/i/indoors.mp3
n.感动(激动，愤怒或震动)，搅拌，骚乱；vt.激起，惹起，搅和；vi.挪动，活动，离开，搅拌，激动,stir,[stɜ:(r)],http://sound.yywz123.com/qsbdcword/s/stir.mp3
n.便士；名词penny的复数形式,pence,[pens],http://sound.yywz123.com/qsbdcword/p/pence.mp3
n.水泥；胶结材料；vt.粘结；巩固,cement,[sɪˈment],http://sound.yywz123.com/qsbdcword/c/cement.mp3
n.合作，协力，合作社,cooperation,[kəʊˌɒpəˈreɪʃn],http://sound.yywz123.com/qsbdcword/c/cooperation.mp3
n.起居室，客厅,living-room,['lɪvɪŋ'ru:m],http://sound.yywz123.com/qsbdcword/l/living-room.mp3
n.食品商；杂货商,grocer,[ˈgrəʊsə(r)],http://sound.yywz123.com/qsbdcword/g/grocer.mp3
n.抢劫；抢劫案,robbery,[ˈrɒbəri],http://sound.yywz123.com/qsbdcword/r/robbery.mp3
