interpret,name,phonetic,sound
n.大鸟笼，鸟舍,aviary,[ˈeɪviəri],http://sound.yywz123.com/qsbdcword/a/aviary.mp3
n.芋，芋头,taro,['tɑ:rəʊ],http://sound.yywz123.com/qsbdcword/t/taro.mp3
n.茧,cocoon,[kəˈku:n],http://sound.yywz123.com/qsbdcword/c/cocoon.mp3
n.巨嘴鸟，犀鸟,toucan,[ˈtu:kæn],http://sound.yywz123.com/qsbdcword/t/toucan.mp3
n.鹈鹕，伽蓝鸟,pelican,[ˈpelɪkən],http://sound.yywz123.com/qsbdcword/p/pelican.mp3
vi.告别，鞠躬；n.稀饭,congee,['kɒndʒi:],http://sound.yywz123.com/qsbdcword/c/congee.mp3
"adj.星光照耀的, 闪亮的",starry,[ˈstɑ:ri],http://sound.yywz123.com/qsbdcword/s/starry.mp3
n.跷跷板,seesaw,['si:sɔ:],http://sound.yywz123.com/qsbdcword/s/seesaw.mp3
n.锅，炒菜锅,wok,[wɒk],http://sound.yywz123.com/qsbdcword/w/wok.mp3
n.梅果,cranberry,[ˈkrænbəri],http://sound.yywz123.com/qsbdcword/c/cranberry.mp3
n.宝塔（尤指印度和远东的多层宝塔），（印度教或佛教的）塔式庙宇,pagoda,[pəˈgəʊdə],http://sound.yywz123.com/qsbdcword/p/pagoda.mp3
"n.地衣, 青苔",lichen,[ˈlaɪkən],http://sound.yywz123.com/qsbdcword/l/lichen.mp3
n.荔枝,lychee,[ˌlaɪˈtʃi:],http://sound.yywz123.com/qsbdcword/l/lychee.mp3
n.袋熊,wombat,[ˈwɒmbæt],http://sound.yywz123.com/qsbdcword/w/wombat.mp3
n.步行者，行人；adj.徒步的，平淡无奇的，一般的,pedestrian,[pəˈdestriən],http://sound.yywz123.com/qsbdcword/p/pedestrian.mp3
n.菩提树，榕树,banyan,[ˈbænjən],http://sound.yywz123.com/qsbdcword/b/banyan.mp3
n.风铃草,bluebell,[ˈblu:bel],http://sound.yywz123.com/qsbdcword/b/bluebell.mp3
n.木棉,kapok,[ˈkeɪpɒk],http://sound.yywz123.com/qsbdcword/k/kapok.mp3
n.台球,billiards,[ˈbɪliədz],http://sound.yywz123.com/qsbdcword/b/billiards.mp3
n.棒棒糖,lollipop,[ˈlɒlipɒp],http://sound.yywz123.com/qsbdcword/l/lollipop.mp3
n.风笛,bagpipe,['bæɡpaɪp],http://sound.yywz123.com/qsbdcword/b/bagpipe.mp3
n.薄荷，薄荷油，薄荷糖,peppermint,[ˈpepəmɪnt],http://sound.yywz123.com/qsbdcword/p/peppermint.mp3
