interpret,name,phonetic,sound
n.能力；才能；才智,ability,[əˈbɪləti],http://sound.yywz123.com/qsbdcword/a/ability.mp3
adj.丑陋的，难看的,ugly,[ˈʌgli],http://sound.yywz123.com/qsbdcword/u/ugly.mp3
n.单位，单元，部件，元件，装置,unit,[ˈju:nɪt],http://sound.yywz123.com/qsbdcword/u/unit.mp3
n.波，波浪，波动；v.波动，挥动，起伏,wave,[weɪv],http://sound.yywz123.com/qsbdcword/w/wave.mp3
n.(各种)瓜，甜瓜,melon,[ˈmelən],http://sound.yywz123.com/qsbdcword/m/melon.mp3
n.叶，树叶，花瓣；v.生叶，翻...的页,leaf,[li:f],http://sound.yywz123.com/qsbdcword/l/leaf.mp3
n.月饼,mooncake,['mu:nkeɪk],http://sound.yywz123.com/qsbdcword/m/mooncake.mp3
n.（=number）(缩)...号，号码,No.,[ˈnʌmbə],http://sound.yywz123.com/qsbdcword/N/No..mp3
adj.高兴的，愉快的，欢乐的，兴高采烈的,merry,[ˈmeri],http://sound.yywz123.com/qsbdcword/m/merry.mp3
n.邮政编码,postcode,[ˈpəʊstkəʊd],http://sound.yywz123.com/qsbdcword/p/postcode.mp3
n.庭院，院子,yard,[jɑ:d],http://sound.yywz123.com/qsbdcword/y/yard.mp3
n.词典，字典，辞典,dictionary,[ˈdɪkʃənri],http://sound.yywz123.com/qsbdcword/d/dictionary.mp3
n.赛跑，流出，运转；adj.流动的，跑着的，连续的,running,[ˈrʌnɪŋ],http://sound.yywz123.com/qsbdcword/r/running.mp3
n.折层，羊栏，折痕；v.折叠，包，交叉,fold,[fəʊld],http://sound.yywz123.com/qsbdcword/f/fold.mp3
n.消防队员；司炉工,fireman,[ˈfaɪəmən],http://sound.yywz123.com/qsbdcword/f/fireman.mp3
n.([复数]fishermen)渔夫，捕鱼人,fisherman,[ˈfɪʃəmən],http://sound.yywz123.com/qsbdcword/f/fisherman.mp3
n.牙刷,toothbrush,[ˈtu:θbrʌʃ],http://sound.yywz123.com/qsbdcword/t/toothbrush.mp3
n.牙膏,toothpaste,[ˈtu:θpeɪst],http://sound.yywz123.com/qsbdcword/t/toothpaste.mp3
n.X射线（X光机，X光照片）；vt.用X射线检查,x-ray,[ˈeksrei],http://sound.yywz123.com/qsbdcword/x/x-ray.mp3
n.昆虫，卑鄙的人,insect,[ˈɪnsekt],http://sound.yywz123.com/qsbdcword/i/insect.mp3
n.高度，高处,height,[haɪt],http://sound.yywz123.com/qsbdcword/h/height.mp3
n.坚果；果仁；螺母，螺帽；难对付的人（事）,nut,[nʌt],http://sound.yywz123.com/qsbdcword/n/nut.mp3
adv.慢地，缓慢地,slowly,[ˈsləʊli],http://sound.yywz123.com/qsbdcword/s/slowly.mp3
adv.安静地，沉着地，稳地,quietly,['kwaɪətlɪ],http://sound.yywz123.com/qsbdcword/q/quietly.mp3
n.地区，区域，面积，方面,area,[ˈeəriə],http://sound.yywz123.com/qsbdcword/a/area.mp3
adj.拥挤的，塞满的,crowded,[ˈkraʊdɪd],http://sound.yywz123.com/qsbdcword/c/crowded.mp3
n.产品，成果，乘积,product,[ˈprɒdʌkt],http://sound.yywz123.com/qsbdcword/p/product.mp3
adj.交通的；n.交通；vi.交易，买卖,traffic,[ˈtræfɪk],http://sound.yywz123.com/qsbdcword/t/traffic.mp3
adv.曾经；永远；不断地；在任何时候；究竟,ever,[ˈevə(r)],http://sound.yywz123.com/qsbdcword/e/ever.mp3
n.薄烤饼，薄煎饼；烙饼,pancake,[ˈpænkeɪk],http://sound.yywz123.com/qsbdcword/p/pancake.mp3
n.菜单,menu,[ˈmenju:],http://sound.yywz123.com/qsbdcword/m/menu.mp3
n.垃圾，杂乱；v.乱丢垃圾，弄乱,litter,[ˈlɪtə(r)],http://sound.yywz123.com/qsbdcword/l/litter.mp3
adj.不健康的；不卫生的,unhealthy,[ʌnˈhelθi],http://sound.yywz123.com/qsbdcword/u/unhealthy.mp3
n.铁路；v.由铁道运输,railway,[ˈreɪlweɪ],http://sound.yywz123.com/qsbdcword/r/railway.mp3
n.中午，正午；最高点；全盛期,noon,[nu:n],http://sound.yywz123.com/qsbdcword/n/noon.mp3
v.剥；削(水果等的皮),peel,[pi:l],http://sound.yywz123.com/qsbdcword/p/peel.mp3
vt. 不计；把…除外；vi. 反对；prep.除了...之外，若不是，除非,except,[ɪkˈsept],http://sound.yywz123.com/qsbdcword/e/except.mp3
"n.饺子，汤团；水果布丁；矮胖的人
",dumpling,[ˈdʌmplɪŋ],http://sound.yywz123.com/qsbdcword/d/dumpling.mp3
