interpret,name,phonetic,sound
n.对虾，明虾,prawn,[prɔ:n],http://sound.yywz123.com/qsbdcword/p/prawn.mp3
n.蜥蜴，壁虎,lizard,[ˈlɪzəd],http://sound.yywz123.com/qsbdcword/l/lizard.mp3
n.（篮球）篮圈，篮,hoop,[hu:p],http://sound.yywz123.com/qsbdcword/h/hoop.mp3
n.蛾，蛀虫,moth,[mɒθ],http://sound.yywz123.com/qsbdcword/m/moth.mp3
n.（BrE）客厅，起居室,sitting-room,['sɪtɪŋrʊm],http://sound.yywz123.com/qsbdcword/s/sitting-room.mp3
n.炭，木炭，生物炭,charcoal,[ˈtʃɑ:kəʊl],http://sound.yywz123.com/qsbdcword/c/charcoal.mp3
n.唱诗班，唱诗班的席位，合唱团，舞蹈团；v.合唱,choir,[ˈkwaɪə(r)],http://sound.yywz123.com/qsbdcword/c/choir.mp3
n.纸夹，文件夹,folder,[ˈfəʊldə(r)],http://sound.yywz123.com/qsbdcword/f/folder.mp3
n.订书机,stapler,[ˈsteɪplə(r)],http://sound.yywz123.com/qsbdcword/s/stapler.mp3
n.鸵鸟,ostrich,[ˈɒstrɪtʃ],http://sound.yywz123.com/qsbdcword/o/ostrich.mp3
n.章鱼,octopus,[ˈɒktəpəs],http://sound.yywz123.com/qsbdcword/o/octopus.mp3
n.蕃茄酱，蕃茄沙司,ketchup,[ˈketʃəp],http://sound.yywz123.com/qsbdcword/k/ketchup.mp3
n.康乃馨（一种花）,carnation,[kɑ:ˈneɪʃn],http://sound.yywz123.com/qsbdcword/c/carnation.mp3
vt.使受精，施肥于，使肥沃,fertilize,[ˈfɜ:təlaɪz],http://sound.yywz123.com/qsbdcword/f/fertilize.mp3
n.兰花，淡紫色,orchid,[ˈɔ:kɪd],http://sound.yywz123.com/qsbdcword/o/orchid.mp3
n.柳树,willow,[ˈwɪləʊ],http://sound.yywz123.com/qsbdcword/w/willow.mp3
n.豹,leopard,[ˈlepəd],http://sound.yywz123.com/qsbdcword/l/leopard.mp3
n.复印机,photocopier,[ˈfəʊtəʊkɒpiə(r)],http://sound.yywz123.com/qsbdcword/p/photocopier.mp3
